CXXX0001,MEM0001,Sample Description 001,133,1/1/23,12/31/24,781
CXXX0002,MEM0002,Sample Description 002,684,2/1/23,12/31/24,77
CXXX0003,MEM0003,Sample Description 003,160,3/1/23,12/31/24,345
CXXX0004,MEM0004,Sample Description 004,700,4/1/23,12/31/24,887
CXXX0005,MEM0005,Sample Description 005,314,5/1/23,12/31/24,92
CXXX0006,MEM0006,Sample Description 006,836,6/1/23,12/31/24,455
CXXX0007,MEM0007,Sample Description 007,298,7/1/23,12/31/24,97
CXXX0008,MEM0008,Sample Description 008,66,8/1/23,12/31/24,949
CXXX0009,MEM0009,Sample Description 009,201,9/1/23,12/31/24,161
CXXX0010,MEM0010,Sample Description 010,66,10/1/23,12/31/24,897
CXXX0011,MEM0011,Sample Description 011,431,11/1/23,12/31/24,118
CXXX0012,MEM0012,Sample Description 012,388,12/1/23,12/31/24,165
CXXX0013,MEM0013,Sample Description 013,601,1/1/24,12/31/24,46
CXXX0014,MEM0014,Sample Description 014,919,2/1/24,12/31/24,636
CXXX0015,MEM0015,Sample Description 015,373,3/1/24,12/31/24,417
CXXX0016,MEM0016,Sample Description 016,150,4/1/24,12/31/24,728
CXXX0017,MEM0017,Sample Description 017,974,5/1/24,12/31/24,756
CXXX0018,MEM0018,Sample Description 018,816,6/1/24,12/31/24,257
CXXX0019,MEM0019,Sample Description 019,267,7/1/24,12/31/24,405
CXXX0020,MEM0020,Sample Description 020,609,8/1/24,12/31/24,243